Symbol,Market Cap
AA,8469100589.0
AAL,7462663966.0
AAPL,3791126029400.0
ABEV,36010086218.0
ACHR,5985843980.0
ACN,148843109002.0
ADM,29116147670.0
ADT,7323500312.0
AEO,3039632214.0
AES,9427536227.0
AFRM,24759193373.0
AG,5931013061.0
AGNC,10250648440.0
AI,2362743789.0
AMAT,162451323714.0
AMCR,18558147525.0
AMD,258778654648.0
AMZN,2343934380679.0
APA,8833747697.0
APH,149684928209.0
APLD,5677594728.0
APP,226580087392.0
AR,10537636410.0
ASTS,17599652302.0
AUR,10158554179.0
AVGO,1579772770810.0
AVTR,8071785912.0
B,58822665879.0
BA,167307451596.0
BABA,396988232656.0
BAC,386716719160.0
BAX,11289390921.0
BB,2957648000.0
BBAI,2494832523.0
BBD,35119161752.0
BBWI,5496960776.0
BCS,72343331876.0
BE,16454737250.0
BKR,49806613344.0
BMNR,217319983.0
BMY,89803429173.0
BP,93916033284.0
BSX,145478375426.0
BTG,6509092025.0
BULL,6995600829.0
C,190385660611.0
CAG,8679913649.0
CARR,50074183729.0
CCL,41517111678.0
CDE,11851677397.0
CELH,14029690283.0
CHWY,16451759772.0
CIFR,4510952041.0
CLF,6119380564.0
CLSK,3642840631.0
CMCSA,117116790243.0
CMG,53742670800.0
CNC,17120896380.0
CNH,13608922144.0
CNP,25337685915.0
CNQ,68280812530.0
CNXC,3003777219.0
COIN,80316298497.0
COLD,3457445086.0
COMP,4180630033.0
COP,122995838787.0
CORZ,5146132248.0
CPB,9559600202.0
CPNG,58684469528.0
CPRT,43386427922.0
CRCL,29135052958.0
CRGY,2487590289.0
CRNX,4323619885.0
CRWV,58794801172.0
CSCO,265733899181.0
CSX,63404061246.0
CTRA,18185625533.0
CVE,32389379000.0
CVX,325003138620.0
CZR,5624091215.0
DAL,37348648594.0
DIS,204011552031.0
DKNG,21010613405.0
DNN,2483451467.0
DOC,13161850200.0
DOW,16275061707.0
DVN,23481252000.0
DXCM,26313618282.0
EA,48377582035.0
EBAY,41650980000.0
ELAN,9742516696.0
EMR,72376080000.0
ENPH,4772403142.0
EOSE,2629718493.0
EQT,33736521420.0
EQX,8204709094.0
ERIC,27422181710.0
ET,59934619531.0
ETNB,2180131275.0
EXC,44530339792.0
EXK,2263335555.0
EXTR,2690465482.0
F,47798122167.0
FCX,51328925291.0
FE,26231460585.0
FHN,11602033208.0
FIG,25913958319.0
FLNC,2173648592.0
FNB,5832490667.0
FOX,24633683173.0
FSM,2661343079.0
GAP,8159328500.0
GFS,19678167371.0
GGB,6381933069.0
GILD,139094455284.0
GIS,26718828578.0
GLXY,11627255168.0
GM,58305244533.0
GME,11827348507.0
GOOG,2989394920000.0
GOOGL,2981654760000.0
GRAB,24892983602.0
GT,2248325191.0
HAL,21408838781.0
HBAN,25412296732.0
HBM,5602828630.0
HIMS,13199543530.0
HL,7818708939.0
HLN,39480265718.0
HMY,11463335564.0
HOOD,107467070071.0
HPE,31666801488.0
HPQ,24965886440.0
HST,12066377509.0
HTZ,2104022459.0
HUT,3499306092.0
IAG,7142742000.0
IBM,264840235693.0
IBRX,2400946900.0
INFY,68627603947.0
INTC,155383500000.0
IONQ,19971246915.0
IOT,21809588899.0
IPG,9651119377.0
IQ,2532581770.0
IREN,11385103479.0
ITUB,70778996689.0
JD,50138659319.0
JHX,8067698519.0
JNJ,432802578687.0
JOBY,13789861788.0
JPM,869087203095.0
KDP,34640099615.0
KEY,20713184199.0
KGC,29578148000.0
KHC,30832759551.0
KMI,62684809547.0
KMX,6732236739.0
KO,282621828439.0
KVUE,31511128086.0
KVYO,9503504747.0
LCID,7361697804.0
LI,25779242735.0
LRCX,162417142930.0
LTM,13430609649.0
LUMN,6074754181.0
LUV,17084356174.0
LYB,15905514814.0
LYFT,8888875736.0
M,4833103518.0
MAC,4524248395.0
MARA,5975485604.0
MBLY,2991682241.0
MDLZ,81984381304.0
MDT,120854663802.0
META,1868405222031.0
MIR,5559037173.0
MO,110385634522.0
MP,12154257290.0
MRK,196225849056.0
MRNA,9528563249.0
MRVL,71700857000.0
MS,255589317893.0
MSFT,3801767276203.0
MSTR,87634873800.0
MU,176004804634.0
NBIS,25644321099.0
NCLH,11316504583.0
NEE,156197342800.0
NEM,93642839056.0
NGD,5407311000.0
NIO,15811773810.0
NKE,102364181031.0
NLY,13509281712.0
NOK,26123262608.0
NU,76038433339.0
NVDA,4330017000000.0
NVO,248298650000.0
NWL,2166747000.0
NXE,5198074391.0
O,55150943168.0
OKLO,16315244213.0
ON,20514135439.0
ONDS,1678802506.0
ONON,26957146312.0
OPEN,6483756379.0
ORCL,805512250440.0
OSCR,4762638360.0
OWL,27519186778.0
OXY,46731354553.0
PAA,12462554889.0
PAAS,13878571280.0
PANW,135365293000.0
PATH,6483774310.0
PBR,84292312263.0
PCAR,52772890896.0
PCG,32901625908.0
PDD,184539843595.0
PEP,192273202530.0
PFE,135088679880.0
PG,357211651920.0
PINS,22845637214.0
PL,3756660637.0
PLTR,421256843697.0
PLUG,2736972559.0
PONY,7521543347.0
PPTA,2276178280.0
PR,10949914999.0
PRMB,8288430125.0
PTEN,2149234661.0
PTON,3492494712.0
PYPL,64296966657.0
QBTS,9152411019.0
QS,7165840254.0
QUBT,3220846802.0
QURE,2979822968.0
QXO,12656129566.0
RF,23762171467.0
RGTI,10107470001.0
RIG,3008568705.0
RIO,81269315280.0
RIOT,6538634054.0
RIVN,18917436294.0
RKLB,22174995283.0
RKT,41059176245.0
ROIV,10359316041.0
RUN,4077044547.0
RXRX,2049195245.0
SBET,2701867584.0
SBSW,7897282667.0
SBUX,94789413000.0
SCHW,173280834378.0
SHOP,182236387806.0
SLB,47996358193.0
SMCI,27229602973.0
SMR,10825319350.0
SNAP,13974915321.0
SNDK,14160634822.0
SNY,111824041436.0
SO,103987481384.0
SOBO,5894726064.0
SOFI,33504653798.0
SONY,179424568345.0
SOUN,6498519590.0
STLA,26586943735.0
STNE,5083267944.0
T,202427412939.0
TAL,6832242917.0
TECK,20260016000.0
TEM,13634138752.0
TEVA,21038747818.0
TGT,39918965152.0
TMC,2584658978.0
TOST,21693430000.0
TRP,55551670783.0
TSLA,1420487690716.0
TSM,1417794391697.0
TTD,23048766845.0
TXN,167781264539.0
U,18066864891.0
UA,2084066566.0
UAA,2131236797.0
UAL,31696609324.0
UBER,205309468652.0
UEC,6352507303.0
UMC,18941560339.0
UNH,311624180890.0
UPS,70958530428.0
USB,76938006556.0
UUUU,3854577796.0
UWMC,9979742754.0
V,654478197454.0
VALE,45675933021.0
VFC,5753781074.0
VG,36006450614.0
VICI,34625026692.0
VLY,5977820269.0
VNET,2905479731.0
VTRS,11099102649.0
VZ,183873924877.0
WAY,6544415788.0
WBD,48302317222.0
WDC,37079036827.0
WFC,272324537177.0
WIT,27751160530.0
WMB,78167567102.0
WMT,822479321746.0
WRD,2899349542.0
WU,2567589884.0
WULF,4244562620.0
XEL,46888267313.0
XOM,499737815802.0
XP,10092811846.0
XPEV,21655610954.0
XYZ,44908053280.0
YMM,13648919219.0
QQQ,0
SPY,0
